人际沟通：趣谈男女之间交往定律(图)
　　情人定律 男人想当女人的初恋情人；女人想做男人的最后情人。
　　初坠情网定律 女人姣好的长相，是使男人迅速坠入情网的“导火线”；男人的“甜言蜜语”，使女人乐于被拉下爱河。
　　求爱定律 男人追求女人，如隔着一座山——难；女人追求男人，像隔着一层纸——易。尽管如此，实际生活中男人往往能追到他喜欢的女人，而女人却得不到她爱恋的男人。原因是：男人不怕翻山越岭，女人却怕伤了手指头。
　　初恋定律 男人获得爱的方式是迅速地出击，在燃烧中拥抱爱的烈焰；女人获得爱的方法是缓慢地渗透，然后在平静中品尝爱的芬芳。
　　热恋定律 男人热恋时有用不完的聪明；女人热恋时却易变得愚蠢。
　　考验定律 男人考验女人的方法是远走高飞；女人考验男人的方式是约会迟到。
　　目的定律 男人为结婚而恋爱；女人为爱情而结婚。
　　结婚定律 男人结婚是因为无聊，女人结婚则是因为好奇。结婚双方都很失望。
　　夫妻定律 父亲——兄长——弟弟；母亲——姐姐——妹妹。需要什么时就变出什么样子来。
　　婚前婚后定律 婚前，男人会说：“你是我的一切。”女人会说：“我属于你。”婚后，男人会说：“我是你的一切。”女人会说：“你属于我。”
　　说话定律 男人酒后话多，女人婚后话多。所以，一个热闹的家庭往往是由嗜酒的丈夫和爱唠叨的妻子组成的。
　　家庭观念定律 “晚出夜不归”的是男人；“多想这个家”的是女人。
　　区别定律 当一个男人不修边幅时，人们会说：“他的老婆可真够呛！”当一个女人仪容不整时，人们会说：“她的丈夫可真倒霉！”
　　成功背后定律 一个成功的男人背后，总有一个坚强的女人；而一个成功的女人背后，常是一个伤她心的男人。

